web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1692628372-11","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","4 Zimmer, 100 m², CHF 3125.—","8400 Winterthur, ZH","","«MÖBLIERT, TEMPORÄR: 4 ZIMMER-DACHWOHNUNG IN WINTERTHUR - STADT»","4 Zimmer, 100 m², CHF 3125.—8400 Winterthur, ZH«MÖBLIERT, TEMPORÄR: 4 ZIMMER-DACHWOHNUNG IN WINTERTHUR - STADT»MIETDAUER ab 1. Januar 2024 bis 30. Juni 2024 (mind. 6 Monate) Erleben Sie den Charme der historischen Altstadt von Winterthur in dieser einzigartigen 4-Zimmer-Wohnung! Die Wohnung ist komplett möbliert und bietet Ihnen ein komfortables und stilvolles Wohnen, 100m², im 3. Stock, mit Lift, Öffentliche Parkplätze in der Nähe, Autobahneinfahrt in der Nähe. Inkl. Heizung, Strom, Wasser, Internet, TV (inkl. Anschluss und Abo), ... Weitere Infos, Fragen & Besichtigen: ums.ch/angebots-detail/60158/English: ums.ch/offer-detail/60158/Français: ums.ch/of"
"1692628372-12","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2,5 Zimmer, 55 m², CHF 2450.—","Tössfeldstrasse 67, 8406 Winterthur, ZH","","«Exklusives Business Apartment»","2,5 Zimmer, 55 m², CHF 2450.—Tössfeldstrasse 67, 8406 Winterthur, ZH«Exklusives Business Apartment»An zentraler Lage in Winterthur vermieten wir eine hochwertig möblierte 2.5-Zimmer-Wohnung. Die Wohnung ist einem modern saniertem und grosszügigen Mehrfamilienhaus in Winterthur. Grosszügige Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt zudem über einen Balkon, grosse Badewanne, Reduit in der Wohnung, moderne Küche und einem praktischen Grundriss.Die Bushaltestelle befindet sich nur wenige Meter entfernt und bringt Sie bequem zum Hauptbahnhof Winterthur. In der nahen Umgebung befinden sich"
"1692628372-13","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","1,5 Zimmer, 36 m², CHF 2100.—","Zürcherstrasse 143, 8406 Winterthur, ZH","","«BUSINESS APARTMENT - Voll möbliert»","1,5 Zimmer, 36 m², CHF 2100.—Zürcherstrasse 143, 8406 Winterthur, ZH«BUSINESS APARTMENT - Voll möbliert»An zentraler Lage in Winterthur vermieten wir eine hochwertig möblierte 1.5-Zimmer-Wohnung. Die Wohnung ist in einem modernen Mehrfamilienhaus in Winterthur. Grosszügige Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt über eine Loggia, grosse Dusche mit Glastrennwand, eigene WM/TU, eine moderne Küche und einem praktischen Grundriss.Die Bushaltestelle befindet sich nur wenige Meter entfernt und bringt Sie bequem zum Hauptbahnhof Winterthur. In der nahen Umgebung befinden sich zahlreiche Restau"
"1692628372-14","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2,5 Zimmer, 62 m², CHF 2220.—","8400 Winterthur, ZH","","«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN WINTERTHUR - VELTHEIM»","2,5 Zimmer, 62 m², CHF 2220.—8400 Winterthur, ZH«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN WINTERTHUR - VELTHEIM»MIETDAUER ab 4. Dezember 2023 bis 23. Februar 2024. Gemütliche 2 1/2 Zimmerwohnung im Quartier Veltheim, unmittelbar in der Nähe der Busstation Bachtelstrasse, Bahnhof Winterthur in 10 Minuten und Einkaufsmöglichkeiten in 5 Minuten zu Fuss erreichbar, 62m², im 1. Stock, Gartensitzplatz (zur Mitbenützung), 1 eigener Parkplatz, Öffentliche Parkplätze in der Nähe. Inkl. Heizung, Strom, Wasser, Internet, TV (inkl. Anschluss und Abo), ... Weitere Infos, Fragen & Besichtigen: ums.ch/angebots-detail/60152/English: ums.ch/offer-detail/60152/Français: u"
"1692628372-15","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","4 Zimmer, CHF 2478.—","8400 Winterthur, ZH","","«MÖBLIERT, TEMPORÄR: 4 ZI-WOHNUNG IN WINTERTHUR»","4 Zimmer, CHF 2478.—8400 Winterthur, ZH«MÖBLIERT, TEMPORÄR: 4 ZI-WOHNUNG IN WINTERTHUR»MIETDAUER ab 20. September 2023 bis 16. Dezember 2023. Unsere Wohnung mit Blick ins Grüne hat grosse, helle Zimmer. Wir nutzen sie als Paar, sie kann aber gut in eine WG umgewandelt werden. Es gibt 1 Bad, 1 Küche und vier Zimmer, eines mit Balkon, im 4. Stock, mit Lift, 1 Balkon, Öffentliche Parkplätze in der Nähe. Inkl. Heizung, Strom, Wasser, Internet, ... Weitere Infos, Fragen & Besichtigen: ums.ch/angebots-detail/60077/English: ums.ch/offer-detail/60077/Français: ums.ch/offre-detail/60077/"
"1692628372-16","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","3,5 Zimmer, 85 m², CHF 2716.—","Hirschweg 35, 8405 Winterthur, ZH","","«MODERNE Attika-Wohnung in Winterthur!»","3,5 Zimmer, 85 m², CHF 2716.—Hirschweg 35, 8405 Winterthur, ZH«MODERNE Attika-Wohnung in Winterthur!»Diese schöne Attika-Wohnung befindet sich in Winterthur im Stadtkreis Seen. Diverse Einkaufsmöglichkeiten, Restaurants und Schulen befindet sich in unmittelbarer Nähe. Das Einkaufszentrum Shopping Seen ist in 4 Fahrminuten oder 12 Minuten zu Fuss erreichbar. Der Autobahnzubringer ist nur in zwei Fahrminute entfernt. Bei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich. Highlights:moderne Küche mit hochwertigen Geräten lichtdurchfluteter Wohn-/EssbereichB"
"1692628372-17","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","1,5 Zimmer, 46 m², CHF 2200.—","Kanzleistrasse 57, 8405 Winterthur, ZH","","«Modernes Design Business Apartment»","1,5 Zimmer, 46 m², CHF 2200.—Kanzleistrasse 57, 8405 Winterthur, ZH«Modernes Design Business Apartment»In Winterthur Seen vermieten wir ein hochwertig möbliertes 1.5-Zimmer-Apartment mit 46 m2 Wohnfläche. Das Apartment befindet sich in einer rundum erneuerten Liegenschaft gleich neben dem S-Bahnhof Winterthur Seen. Grosse Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt über eine geräumigen Balkon, eine grosse Badewanne mit Dusche, eine abgetrennte und moderne Küche sowie einen individuellen Grundriss. Bei diesem Apartment kann ein Autoabstellplatz dazugemietet werden.Der S-Bahnhof befindet sic"
"1692628372-18","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","1,5 Zimmer, 46 m², CHF 2200.—","Kanzleistrasse 57, 8405 Winterthur, ZH","","«Modernes Design Business Apartment»","1,5 Zimmer, 46 m², CHF 2200.—Kanzleistrasse 57, 8405 Winterthur, ZH«Modernes Design Business Apartment»In Winterthur Seen vermieten wir ein hochwertig möbliertes 1.5-Zimmer-Apartment mit 46 m2 Wohnfläche. Das Apartment befindet sich in einer rundum erneuerten Liegenschaft gleich neben dem S-Bahnhof Winterthur Seen. Grosse Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt über eine geräumigen Balkon, eine grosse Badewanne mit Dusche, eine abgetrennte und moderne Küche sowie einen individuellen Grundriss. Bei diesem Apartment kann ein Autoabstellplatz dazugemietet werden.Der S-Bahnhof befindet sic"
"1692628372-19","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","4,5 Zimmer, CHF 2200.—","Tösstalstrasse, 8405 Winterthur, ZH","","«4.5 Zimmerwohnung zu vermieten in Winterthur Seen»","4,5 Zimmer, CHF 2200.—Tösstalstrasse, 8405 Winterthur, ZH«4.5 Zimmerwohnung zu vermieten in Winterthur Seen»Wir vermieten an sehr guter Lage in Winterthur Seen eine 4.5 Zimmerwohnung mit Küche, Bad / WC, Wohnzimmer und weiterem Raumangebot.Einkaufsmöglichkeiten, Gastronomie, Schulen und Tankstellen auch in der Nähe.Haben wir Ihr Interesse geweckt? Rufen Sie uns an für einen Besichtigungstermin.Wir freuen uns auf Sie!Westdoor AG"
"1692628372-20","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2 Zimmer, 52 m², CHF 1500.—","Rieterstrasse 5, 8406 Winterthur, ZH","","«Zentrumsnahe, helle Wohnung»","2 Zimmer, 52 m², CHF 1500.—Rieterstrasse 5, 8406 Winterthur, ZH«Zentrumsnahe, helle Wohnung»Der Besichtigungstermin ohne Voranmeldung findet am:Samstag, 19. August 2023 von 11.00 Uhr bis 12.00 Uhr statt.Ein Anmeldeformular erhalten Sie vor Ort.Bitte klingeln Sie bei Fam. Mojsilovic.Per 01.11.2023 vermieten wir diese Wohnung in Winterthur-Töss.- Grosszügige Küche mit Glaskeramik Kochfeld, Backofen, grossem Kühlschrank- Badezimmer mit Badewanne, Lavabo und WC  (wird im Oktober 2023 komplett saniert - Beispielfoto)- Zimmer mit Laminat- Einbauschrank im Eingangsbereich- Eigenes Kellerabteil im UG- Waschküche zur Mitbenützung"
"1692628372-21","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2 Zimmer, 60 m², CHF 1990.—","Neumarkt 7, 8400 Winterthur, ZH","","«Dachwohnung in Winterthur»","2 Zimmer, 60 m², CHF 1990.—Neumarkt 7, 8400 Winterthur, ZH«Dachwohnung in Winterthur»"
"1692628372-22","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","6,5 Zimmer, 210 m², CHF 4400.—","8400 Winterthur, ZH","","«Erstvermietung: Grosszügiges Wohnen am Heiligberg»","6,5 Zimmer, 210 m², CHF 4400.—8400 Winterthur, ZH«Erstvermietung: Grosszügiges Wohnen am Heiligberg»Diese ansprechende, barrierefreie Liegenschaft besticht durch einen sehr gepflegten Zustand, ein tolles Raumangebot und viele Einbauschränke. Die Wohnung wurde frisch renoviert und verfügt über eine komplett neue, sehr hochwertige Küche mit top Geräten. Eine schöne Terrasse mit Option «Wintergarten» bietet einen entspannten Blick ins Grüne.- 6.5 Zimmer plus 2 Bäder- Nettowohnfläche: ca. 210 m2- Terrasse/Balkon: ca. 25 m²- Mietpreis inkl. PP: 4?400 CHF- Referenz:W-02OOEH- Barrierefreie, sehr gepflegte Wohnung im Eigentumsstandard- Grosses Wohn-/"
"1692628372-23","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","3 Zimmer, 62 m², CHF 1747.—","Wülflingerstrasse 288, 8408 Winterthur, ZH","","«Ruhig gelegene 3-Zimmerwohnung nahe Stadtzentrum!»","3 Zimmer, 62 m², CHF 1747.—Wülflingerstrasse 288, 8408 Winterthur, ZH«Ruhig gelegene 3-Zimmerwohnung nahe Stadtzentrum!»Die beiden Mehrfamilienhäuser an der Wülflingerstrasse 288/290, 8408 Winterthur stehen im Stadteil Wülflingen. In der Umgebung befinden sich mehrere Einkaufsmöglichkeiten wie Coop und Migros sowie diverse Tankstellen und eine Postfiliale. Im Quartier finden Sie alle Geschäfter die Sie täglich benötigen! Der Bahnhof Wülflingen ist in 10 Gehminuten erreichbar, divesere Bushaltestellen befinden sich in kurzer Distanz von der Liegenschaft entfernt. Mit den öffentlichen Verkehrsmitteln erreichen Sie in unter 10 Minuten das Stadtzentrum von Winterthu"
"1692628372-24","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2,5 Zimmer, 55 m², CHF 1764.—","8409 Winterthur, ZH","","«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN WINTERTHUR»","2,5 Zimmer, 55 m², CHF 1764.—8409 Winterthur, ZH«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN WINTERTHUR»MIETDAUER ab 26. Oktober 2023 bis 25. November 2023. Charmante, lichtdurchflutete und moderne Dachwohnung. Gemütlich eingerichtet und mit allem ausgestattet, was das Herz begehrt. Sehr gut mit ÖV erschlosse; diverse Einkaufsläden in unmittelbarer Nähe, 55m², im 2. Stock, 1 Balkon, Öffentliche Parkplätze in der Nähe. Inkl. Heizung, Strom, Wasser, Internet, ... Weitere Infos, Fragen & Besichtigen: ums.ch/angebots-detail/59999/English: ums.ch/offer-detail/59999/Français: ums.ch/offre-detail/59999/"
"1692628372-25","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","1 Zimmer, 17 m², CHF 1420.—","Wülflingerstrasse 38, 8400 Winterthur, ZH","","«Erstvermietung! Lichtdurchflutete Studio in Winterthur zu vermieten»","1 Zimmer, 17 m², CHF 1420.—Wülflingerstrasse 38, 8400 Winterthur, ZH«Erstvermietung! Lichtdurchflutete Studio in Winterthur zu vermieten»"
"1692628372-26","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2,5 Zimmer, 55 m², CHF 2350.—","Eichliackerstrasse 8, 8406 Winterthur, ZH","","«Business- Appartement möbliert zu vermieten»","2,5 Zimmer, 55 m², CHF 2350.—Eichliackerstrasse 8, 8406 Winterthur, ZH«Business- Appartement möbliert zu vermieten»Wir vermieten eine modern möblierte 2.5 Zimmer Wohnung in Winterthur.Das 2.5 Zimmer Apartment liegt an zentraler und ruhiger Lage, in der Nähe des Hauptbahnhofes und Autobahnanschluss Winterthur-Töss.Zürich erreicht man mit dem Zug in weniger als 15 Minuten.Die Wohnung liegt Nahe des Naherholungsgebietes Töss. Das Apartment ist ausgestattet mit Internetanschluss, Internettelefon, Digital-TV, Radio-CD-Player, DVD, moderner Küche mit Granitabdeckung, GK, GS, Nespresso-Kaffeemaschine.Besichtigungen finden nach Vereinbarung statt."
"1692628372-27","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","1 Zimmer, 18 m², CHF 995.—","Unterwegli 7, 8400 Winterthur, ZH","","«modern möbliertes Zimmer im Zentrum von Winterthur»","1 Zimmer, 18 m², CHF 995.—Unterwegli 7, 8400 Winterthur, ZH«modern möbliertes Zimmer im Zentrum von Winterthur»Per sofort verfügbares möbliertes Zimmer in Winterthur. Sie können bequem alles zu Fuss erreichen.Alle Nebenkosten sind im Mietzins inklusive. Ein kostenloses WLAN ist ebenfalls im Mietzins inklusive.Komplett möbliert mit schnellen WLan, grossem LCD TV etc. sehr modern!Wie benötigen keine Betreibungsauszüge oder Referenzen. Wir geben allen Menschen eine Chance."
"1692628372-28","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","8,5 Zimmer, 214 m², CHF 4730.—","Hobelwerkweg 43, 8404 Winterthur, ZH","","«Clusterwohnungen»","8,5 Zimmer, 214 m², CHF 4730.—Hobelwerkweg 43, 8404 Winterthur, ZH«Clusterwohnungen»Es geht los - wir starten mit der Vermietung im Hobelwerk!Die Baugenossenschaft mehr als wohnen realisiert auf einem ehemaligen Industrie-Areal in Oberwinterthur ein neues «Leuchtturmprojekt», das Hobelwerk. Auf rund 15'0000 Quadratmetern Land entstehen 5 Häuser mit mehr als 160 Wohnungen mit ganz verschiedenen Grössen und Zuschnitt. Dazu gibt es Gewerberäume und viele gemeinschaftlich genutzte Flächen. Neue Wohn- und Arbeitsformen werden, genauso wie Mitwirkung, Gemeinschaft und Nachhaltigkeit, gefördert. Viele weitere Informationen zur Genoss"
"1692628372-29","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2 Zimmer, 47 m², CHF 1770.—","Neumarkt 7, 8400 Winterthur, ZH","","«Altstadtwohnung am Neumarkt»","2 Zimmer, 47 m², CHF 1770.—Neumarkt 7, 8400 Winterthur, ZH«Altstadtwohnung am Neumarkt»"
"1692628376-30","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","1 Zimmer, 49 m², CHF 1390.—","Wartstr. 30, 8400 Winterthur, ZH","","«Perfekte Single-Wohnung direkt am Bahnhof «Mieten ohne Kaution»»","1 Zimmer, 49 m², CHF 1390.—Wartstr. 30, 8400 Winterthur, ZH«Perfekte Single-Wohnung direkt am Bahnhof «Mieten ohne Kaution»»Diese tolle Wohnung an zentraler Lage überzeugt mit folgenden Eigenschaften:- Kochnische mit Glaskeramik und Backofen- Ganze Wohnung Parkett- Wandschrank im Korridor- Dusche/WC- 2. Stock mit Lift- Kein BalkonDen Hauptbahnhof erreichen Sie zu Fuss in nur 2 Gehminuten. Ausserdem gibt es diverse Einkaufsmöglichkeiten in unmittelbarer Gehdistanz und die Altstadt ist auch nicht weit entfernt. Schauen Sie rein, vereinbaren Sie noch heute einen Besichtigungstermin und überzeugen Sie sich selbst von der Wohnung.(Die Bilder entsprechen dem Standard der Anbieter kontaktierenKontaktieren"
"1692628376-31","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","6,5 Zimmer, 143 m², CHF 3017.—","Am Eulachpark 25, 8404 Winterthur, ZH","","«Sie suchen die spezielle Maisonettewohnung?»","6,5 Zimmer, 143 m², CHF 3017.—Am Eulachpark 25, 8404 Winterthur, ZH«Sie suchen die spezielle Maisonettewohnung?»- Maisonettwohnung (Wohnen auf zwei Stockwerken) - Bodenbeläge Riemenparkett- Raumhohe Fenster- Grosszügige Küche mit Geschirrspüler und Glaskeramik- Waschturm (WA/WT) im Reduit- Bad/WC mit Doppellavabo- Dusche/WC- Lift- Balkon- Einstellplätze vorhandenDie Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.Anbieter kontaktierenKontaktieren"
"1692628376-32","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","1 Zimmer, 132 m², CHF 3260.—","Katharina Sulzer Platz 2, 8400 Winterthur, ZH","","«In Loft-iger Höhe MIETEN OHNE KAUTION»","1 Zimmer, 132 m², CHF 3260.—Katharina Sulzer Platz 2, 8400 Winterthur, ZH«In Loft-iger Höhe MIETEN OHNE KAUTION»Licht und Luft erfüllen Ihr neues Zuhause...- modernste Architektur- Wohnfläche ca. 131 m2- origineller Grundriss- hoher, heller Raum- Parkett- und Plattenbeläge- Küche mit Glaskeramik, Geschirrspüler und Steamer- Bad/WC mit Doppellavabo- eigener Waschturm- Wandschränke- grosse, eigene Terrasse- Keller- 5. Stock mit Lift- direkt am Katharina Sulzer Platz- Bahnhof, Einkaufsmöglichkeiten, Restaurants, ZHAW, etc. alles zu Fuss oder mit dem Fahrrad erreichbar- Einstellplätze können für CHF 175.- pro Monat dazu gemietet werden.>> siehe auch www.kranAnbieter kontaktierenKontaktieren"
"1692628376-33","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","3,5 Zimmer, 73 m², CHF 1660.—","Maienstrasse 2, 8406 Winterthur, ZH","","«Attraktive Wohnung an zentraler Lage»","3,5 Zimmer, 73 m², CHF 1660.—Maienstrasse 2, 8406 Winterthur, ZH«Attraktive Wohnung an zentraler Lage»Per 01.09.2023 vermieten wir diese 3.5-Zimmerwohnung an zentraler Lage.Diese Wohnung bietet Ihnen folgende Vorzüge:- Wohn- und Schlafzimmer mit Parkettboden- Badezimmer und Küche mit PVC-Boden- Grosse und helle Zimmer- Küche mit Herdplatten, Backofen, Stauraum für Ihre Küchenutensilien und Tageslicht- Badezimmer mit WC, Waschbecken, Spiegelschrank und Badewanne- Praktische Einbauschränke im Korridor- Balkon für gemütliche Sonnenstunden- Separates Kellerabteil im Untergeschoss- Waschküche und Trockenraum zur MitbenutzungHaustiere sind erlaubt.BeAnbieter kontaktierenKontaktieren"
"1692628376-34","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","1 Zimmer, 27 m², CHF 1120.—","Römerstrasse 145, 8404 Winterthur, ZH","","«Preiswerte 1 Zimmerwohnung an zentraler Lage»","1 Zimmer, 27 m², CHF 1120.—Römerstrasse 145, 8404 Winterthur, ZH«Preiswerte 1 Zimmerwohnung an zentraler Lage»Preiswerte 1 Zimmerwohnung an ruhiger Lage- Lift- Bad mit Badewanne- Einbauschränke im Korridor- Laminatbodenbeläge- Tiefgaragenplatz vorhanden (Fr. 125.00/Monat)Bilder sind von einer vergleichbaren Wohnung. Um einen Besichtigungstermin zu vereinbaren, kontaktieren Sie bitte den aktuellen Mieter."
"1692628376-35","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=4","3,5 Zimmer, 88 m², CHF 2244.—","Untere Briggerstrasse 66, 8406 Winterthur, ZH","","«Modernes Leben im EG mit Gartensitzplatz»","3,5 Zimmer, 88 m², CHF 2244.—Untere Briggerstrasse 66, 8406 Winterthur, ZH«Modernes Leben im EG mit Gartensitzplatz»Neu"
